"CPT Code","Description"
"4320F","Patient counseled regarding psychosocial and pharmacologic treatment options for alcohol dependence"
"H0005","Alcohol and/or drug services; Group counseling by a clinician"
"H0006","Alcohol and/or drug services; case management"
"H0007","Alcohol and/or drug services; crisis intervention (outpatient)"
"H0008","Alcohol and/or drug services; sub-acute detox (hospital inpatient)"
"H0009","Alcohol and/or drug services; Acute detox (hospital inpatient)"
"H0010","Alcohol and/or drug services; Sub-acute detox (residential addiction program inpatient)"
"H0011","Alcohol and/or drug services; acute detox (residential addiction program inpatient)"
"H0012","Alcohol and/or drug services; Sub-acute detox (residential addiction program outpatient)"
"H0013","Alcohol and/or drug services; acute detox (residential addiction program outpatient)"
"H0014","Alcohol and/or drug services; ambulatory detox"
"H0015","Alcohol and/or drug services; intensive outpatient"
"H0050","Alcohol and/or Drug Service, Brief Intervention, per 15 minutes"
"99408","Alcohol and substance (other than tobacco) abuse structure screening (e.g., AUDIT, DAST) and brief intervention (SBI) services; 15-30 minutes"
"99409","Alcohol and substance (other than tobacco) abuse structure screening (e.g., AUDIT, DAST) and brief intervention (SBI) services; Greater than 30 minutes"
"H0034","Alcohol and/or drug abuse halfway house services, per diem"
"H0047","Alcohol and/or Drug abuse services, not otherwise specified"
"H2035","Alcohol and/or drug treatment program, per hour"
"H2036","Alcohol and/or drug treatment program, per diem"
"H0020","Alcohol and/or drug services; methadone administration and/or service (provisions of the drug by a licensed program)"
"S9475","Ambulatory Setting substance abuse treatment or detoxification services per diem"
"T1006","Alcohol and/or substance abuse services, family/couple counseling"
"T1007","Alcohol and/or substance abuse services, treatment plan development and or modification"
"T1008","Day Treatment for individual alcohol and/or substance abuse services"
"T1009","Child sitting services for children of individuals receiving alcohol and/or substance abuse services"
"T1010","Meals for individuals receiving alcohol and/or substance abuse services (when meals are not included in the program"
"T1011","Alcohol and/or substance abuse services not otherwise classified"
"T1012","Alcohol and/or substance abuse services, skill development"
"0078U","Pain management (opioid-use disorder) genotyping panel, 16 common variants (ie, abcb1, comt, dat1, dbh, dor, drd1, drd2, drd4, gaba, gal, htr2a, httlpr, mthfr, muor, oprk1, oprm1), buccal swab or other germline tissue sample, algorithm reported as positive or negative risk of opioid-use disorder"
"G2011","Alcohol and/or substance (other than tobacco) abuse structured assessment (e.g., audit, dast), and brief intervention, 5-14 minutes"
"G2067","Medication assisted treatment, methadone; weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing, if performed (provision of the services by a medicare-enrolled opioid treatment program)"
"G2068","Medication assisted treatment, buprenorphine (oral); weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing if performed (provision of the services by a medicare-enrolled opioid treatment program)"
"G2069","Medication assisted treatment, buprenorphine (injectable); weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing if performed (provision of the services by a medicare-enrolled opioid treatment program)"
"G2070","Medication assisted treatment, buprenorphine (implant insertion); weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing if performed (provision of the services by a medicare-enrolled opioid treatment program)"
"G2071","Medication assisted treatment, buprenorphine (implant removal); weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing if performed (provision of the services by a medicare-enrolled opioid treatment program)"
"G2072","Medication assisted treatment, buprenorphine (implant insertion and removal); weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing if performed (provision of the services by a medicare-enrolled opioid treatment program)"
"G2073","Medication assisted treatment, naltrexone; weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing if performed (provision of the services by a medicare-enrolled opioid treatment program)"
"G2074","Medication assisted treatment, weekly bundle not including the drug, including substance use counseling, individual and group therapy, and toxicology testing if performed (provision of the services by a medicare-enrolled opioid treatment program)"
"G2075","Medication assisted treatment, medication not otherwise specified; weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing, if performed (provision of the services by a medicare-enrolled opioid treatment program)"
"G2076","Intake activities, including initial medical examination that is a complete, fully documented physical evaluation and initial assessment by a program physician or a primary care physician, or an authorized healthcare professional under the supervision of a program physician qualified personnel that includes preparation of a treatment plan that includes the patient's short-term goals and the tasks the patient must perform to complete the short-term goals; the patient's requirements for education, vocational rehabilitation, and employment; and the medical, psycho- social, economic, legal, or other supportive services that a patient needs, conducted by qualified personnel (provision of the services by a medicare-enrolled opioid treatment program); list separately in addition to code for primary procedure"
"G2077","Periodic assessment; assessing periodically by qualified personnel to determine the most appropriate combination of services and treatment (provision of the services by a medicare-enrolled opioid treatment program); list separately in addition to code for primary procedure"
"G2078","Take-home supply of methadone; up to 7 additional day supply (provision of the services by a medicare-enrolled opioid treatment program); list separately in addition to code for primary procedure"
"G2079","Take-home supply of buprenorphine (oral); up to 7 additional day supply (provision of the services by a medicare-enrolled opioid treatment program); list separately in addition to code for primary procedure"
"G2080","Each additional 30 minutes of counseling in a week of medication assisted treatment, (provision of the services by a medicare-enrolled opioid treatment program); list separately in addition to code for primary procedure"
"G2086","Office-based treatment for opioid use disorder, including development of the treatment plan, care coordination, individual therapy and group therapy and counseling; at least 70 minutes in the first calendar month"
"G2087","Office-based treatment for opioid use disorder, including care coordination, individual therapy and group therapy and counseling; at least 60 minutes in a subsequent calendar month"
"G2088","Office-based treatment for opioid use disorder, including care coordination, individual therapy and group therapy and counseling; each additional 30 minutes beyond the first 120 minutes (list separately in addition to code for primary procedure)"
"G9562","Patients who had a follow-up evaluation conducted at least every three months during opioid therapy"
"G9578","Documentation of signed opioid treatment agreement at least once during opioid therapy"
"G9584","Patient evaluated for risk of misuse of opiates by using a brief validated instrument (e.g., opioid risk tool, soapp-r) or patient interviewed at least once during opioid therapy"
"G9621","Patient identified as an unhealthy alcohol user when screened for unhealthy alcohol use using a systematic screening method and received brief counseling"
"J0570","Buprenorphine implant, 74.2 mg"
"M1034","Adults who have at least 180 days of continuous pharmacotherapy with a medication prescribed for oud without a gap of more than seven days"
"M1035","Adults who are deliberately phased out of medication assisted treatment (mat) prior to 180 days of continuous treatment"
"Q9991","Injection, buprenorphine extended-release (sublocade), less than or equal to 100 mg"
"Q9992","Injection, buprenorphine extended-release (sublocade), greater than 100 mg"
"G2172","All-inclusive payment for services related to highly coordinated and integrated opioid use disorder (OUD) treatment services furnished for the demonstration project"
"G1028","Take-home supply of nasal naloxone; 2-pack of 8mg per 0.1 ml nasal spray (provision of the services by a medicare-enrolled opioid treatment program); list separately in addition to code for primary procedure"
"G2215","Take-home supply of nasal naloxone; 2-pack of 4mg per 0.1 ml nasal spray (provision of the services by a medicare-enrolled opioid treatment program); list separately in addition to code for primary procedure"
"G2216","Take-home supply of injectable naloxone (provision of the services by a medicare-enrolled opioid treatment program); list separately in addition to code for primary procedure"