"ICD-10-CM Diagnosis Code","Description"
"F10.10","Alcohol abuse, uncomplicated"
"F10.14","Alcohol abuse with alcohol-induced mood disorder"
"F10.19","Alcohol abuse with unspecified alcohol-induced disorder"
"F10.20","Alcohol dependence, uncomplicated"
"F10.21","Alcohol dependence, in remission"
"F10.24","Alcohol dependence with alcohol-induced mood disorder"
"F10.26","Alcohol dependence with alcohol-induced persisting amnestic disorder"
"F10.27","Alcohol dependence with alcohol-induced persisting dementia"
"F10.29","Alcohol dependence with unspecified alcohol-induced disorder"
"F10.94","Alcohol use, unspecified with alcohol-induced mood disorder"
"F10.96","Alcohol use, unspecified with alcohol-induced persisting amnestic disorder"
"F10.97","Alcohol use, unspecified with alcohol-induced persisting dementia"
"F10.99","Alcohol use, unspecified with unspecified alcohol-induced disorder"
"F10.120","Alcohol abuse with intoxication, uncomplicated"
"F10.121","Alcohol abuse with intoxication delirium"
"F10.129","Alcohol abuse with intoxication, unspecified"
"F10.150","Alcohol abuse with alcohol-induced psychotic disorder with delusions"
"F10.151","Alcohol abuse with alcohol-induced psychotic disorder with hallucinations"
"F10.159","Alcohol abuse with alcohol-induced psychotic disorder, unspecified"
"F10.180","Alcohol abuse with alcohol-induced anxiety disorder"
"F10.181","Alcohol abuse with alcohol-induced sexual dysfunction"
"F10.182","Alcohol abuse with alcohol-induced sleep disorder"
"F10.188","Alcohol abuse with other alcohol-induced disorder"
"F10.220","Alcohol dependence with intoxication, uncomplicated"
"F10.221","Alcohol dependence with intoxication delirium"
"F10.229","Alcohol dependence with intoxication, unspecified"
"F10.230","Alcohol dependence with withdrawal, uncomplicated"
"F10.231","Alcohol dependence with withdrawal delirium"
"F10.232","Alcohol dependence with withdrawal with perceptual disturbance"
"F10.239","Alcohol dependence with withdrawal, unspecified"
"F10.250","Alcohol dependence with alcohol-induced psychotic disorder with delusions"
"F10.251","Alcohol dependence with alcohol-induced psychotic disorder with hallucinations"
"F10.259","Alcohol dependence with alcohol-induced psychotic disorder, unspecified"
"F10.280","Alcohol dependence with alcohol-induced anxiety disorder"
"F10.281","Alcohol dependence with alcohol-induced sexual dysfunction"
"F10.282","Alcohol dependence with alcohol-induced sleep disorder"
"F10.288","Alcohol dependence with other alcohol-induced disorder"
"F10.920","Alcohol use, unspecified with intoxication, uncomplicated"
"F10.921","Alcohol use, unspecified with intoxication delirium"
"F10.929","Alcohol use, unspecified with intoxication, unspecified"
"F10.950","Alcohol use, unspecified with alcohol-induced psychotic disorder with delusions"
"F10.951","Alcohol use, unspecified with alcohol-induced psychotic disorder with hallucinations"
"F10.959","Alcohol use, unspecified with alcohol-induced psychotic disorder, unspecified"
"F10.980","Alcohol use, unspecified with alcohol-induced anxiety disorder"
"F10.981","Alcohol use, unspecified with alcohol-induced sexual dysfunction"
"F10.982","Alcohol use, unspecified with alcohol-induced sleep disorder"
"F10.988","Alcohol use, unspecified with other alcohol-induced disorder"
"F11.10","Opioid abuse, uncomplicated"
"F11.14","Opioid abuse with opioid-induced mood disorder"
"F11.19","Opioid abuse with unspecified opioid-induced disorder"
"F11.20","Opioid dependence, uncomplicated"
"F11.21","Opioid dependence, in remission"
"F11.23","Opioid dependence with withdrawal"
"F11.24","Opioid dependence with opioid-induced mood disorder"
"F11.29","Opioid dependence with unspecified opioid-induced disorder"
"F11.90","Opioid use, unspecified, uncomplicated"
"F11.93","Opioid use, unspecified with withdrawal"
"F11.94","Opioid use, unspecified with opioid-induced mood disorder"
"F11.99","Opioid use, unspecified with unspecified opioid-induced disorder"
"F11.120","Opioid abuse with intoxication, uncomplicated"
"F11.121","Opioid abuse with intoxication delirium"
"F11.122","Opioid abuse with intoxication with perceptual disturbance"
"F11.129","Opioid abuse with intoxication, unspecified"
"F11.150","Opioid abuse with opioid-induced psychotic disorder with delusions"
"F11.151","Opioid abuse with opioid-induced psychotic disorder with hallucinations"
"F11.159","Opioid abuse with opioid-induced psychotic disorder, unspecified"
"F11.181","Opioid abuse with opioid-induced sexual dysfunction"
"F11.182","Opioid abuse with opioid-induced sleep disorder"
"F11.188","Opioid abuse with other opioid-induced disorder"
"F11.220","Opioid dependence with intoxication, uncomplicated"
"F11.221","Opioid dependence with intoxication delirium"
"F11.222","Opioid dependence with intoxication with perceptual disturbance"
"F11.229","Opioid dependence with intoxication, unspecified"
"F11.250","Opioid dependence with opioid-induced psychotic disorder with delusions"
"F11.251","Opioid dependence with opioid-induced psychotic disorder with hallucinations"
"F11.259","Opioid dependence with opioid-induced psychotic disorder, unspecified"
"F11.281","Opioid dependence with opioid-induced sexual dysfunction"
"F11.282","Opioid dependence with opioid-induced sleep disorder"
"F11.288","Opioid dependence with other opioid-induced disorder"
"F11.920","Opioid use, unspecified with intoxication, uncomplicated"
"F11.921","Opioid use, unspecified with intoxication delirium"
"F11.922","Opioid use, unspecified with intoxication with perceptual disturbance"
"F11.929","Opioid use, unspecified with intoxication, unspecified"
"F11.950","Opioid use, unspecified with opioid-induced psychotic disorder with delusions"
"F11.951","Opioid use, unspecified with opioid-induced psychotic disorder with hallucinations"
"F11.959","Opioid use, unspecified with opioid-induced psychotic disorder, unspecified"
"F11.981","Opioid use, unspecified with opioid-induced sexual dysfunction"
"F11.982","Opioid use, unspecified with opioid-induced sleep disorder"
"F11.988","Opioid use, unspecified with other opioid-induced disorder"
"F12.10","Cannabis abuse, uncomplicated"
"F12.19","Cannabis abuse with unspecified cannabis-induced disorder"
"F12.20","Cannabis dependence, uncomplicated"
"F12.21","Cannabis dependence, in remission"
"F12.29","Cannabis dependence with unspecified cannabis-induced disorder"
"F12.90","Cannabis use, unspecified, uncomplicated"
"F12.99","Cannabis use, unspecified with unspecified cannabis-induced disorder"
"F12.120","Cannabis abuse with intoxication, uncomplicated"
"F12.121","Cannabis abuse with intoxication delirium"
"F12.122","Cannabis abuse with intoxication with perceptual disturbance"
"F12.129","Cannabis abuse with intoxication, unspecified"
"F12.150","Cannabis abuse with psychotic disorder with delusions"
"F12.151","Cannabis abuse with psychotic disorder with hallucinations"
"F12.159","Cannabis abuse with psychotic disorder, unspecified"
"F12.180","Cannabis abuse with cannabis-induced anxiety disorder"
"F12.188","Cannabis abuse with other cannabis-induced disorder"
"F12.220","Cannabis dependence with intoxication, uncomplicated"
"F12.221","Cannabis dependence with intoxication delirium"
"F12.222","Cannabis dependence with intoxication with perceptual disturbance"
"F12.229","Cannabis dependence with intoxication, unspecified"
"F12.250","Cannabis dependence with psychotic disorder with delusions"
"F12.251","Cannabis dependence with psychotic disorder with hallucinations"
"F12.259","Cannabis dependence with psychotic disorder, unspecified"
"F12.280","Cannabis dependence with cannabis-induced anxiety disorder"
"F12.288","Cannabis dependence with other cannabis-induced disorder"
"F12.920","Cannabis use, unspecified with intoxication, uncomplicated"
"F12.921","Cannabis use, unspecified with intoxication delirium"
"F12.922","Cannabis use, unspecified with intoxication with perceptual disturbance"
"F12.929","Cannabis use, unspecified with intoxication, unspecified"
"F12.950","Cannabis use, unspecified with psychotic disorder with delusions"
"F12.951","Cannabis use, unspecified with psychotic disorder with hallucinations"
"F12.959","Cannabis use, unspecified with psychotic disorder, unspecified"
"F12.980","Cannabis use, unspecified with anxiety disorder"
"F12.988","Cannabis use, unspecified with other cannabis-induced disorder"
"F13.10","Sedative, hypnotic or anxiolytic abuse, uncomplicated"
"F13.14","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced mood disorder"
"F13.19","Sedative, hypnotic or anxiolytic abuse with unspecified sedative, hypnotic or anxiolytic-induced disorder"
"F13.20","Sedative, hypnotic or anxiolytic dependence, uncomplicated"
"F13.21","Sedative, hypnotic or anxiolytic dependence, in remission"
"F13.24","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced mood disorder"
"F13.26","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder"
"F13.27","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting dementia"
"F13.29","Sedative, hypnotic or anxiolytic dependence with unspecified sedative, hypnotic or anxiolytic-induced disorder"
"F13.90","Sedative, hypnotic, or anxiolytic use, unspecified, uncomplicated"
"F13.94","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced mood disorder"
"F13.96","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder"
"F13.97","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting dementia"
"F13.99","Sedative, hypnotic or anxiolytic use, unspecified with unspecified sedative, hypnotic or anxiolytic-induced disorder"
"F13.120","Sedative, hypnotic or anxiolytic abuse with intoxication, uncomplicated"
"F13.121","Sedative, hypnotic or anxiolytic abuse with intoxication delirium"
"F13.129","Sedative, hypnotic or anxiolytic abuse with intoxication, unspecified"
"F13.150","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
"F13.151","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
"F13.159","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
"F13.180","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced anxiety disorder"
"F13.181","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sexual dysfunction"
"F13.182","Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sleep disorder"
"F13.188","Sedative, hypnotic or anxiolytic abuse with other sedative, hypnotic or anxiolytic-induced disorder"
"F13.220","Sedative, hypnotic or anxiolytic dependence with intoxication, uncomplicated"
"F13.221","Sedative, hypnotic or anxiolytic dependence with intoxication delirium"
"F13.229","Sedative, hypnotic or anxiolytic dependence with intoxication, unspecified"
"F13.230","Sedative, hypnotic or anxiolytic dependence with withdrawal, uncomplicated"
"F13.231","Sedative, hypnotic or anxiolytic dependence with withdrawal delirium"
"F13.232","Sedative, hypnotic or anxiolytic dependence with withdrawal with perceptual disturbance"
"F13.239","Sedative, hypnotic or anxiolytic dependence with withdrawal, unspecified"
"F13.250","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
"F13.251","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
"F13.259","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
"F13.280","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced anxiety disorder"
"F13.281","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sexual dysfunction"
"F13.282","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sleep disorder"
"F13.288","Sedative, hypnotic or anxiolytic dependence with other sedative, hypnotic or anxiolytic-induced disorder"
"F13.920","Sedative, hypnotic or anxiolytic use, unspecified with intoxication, uncomplicated"
"F13.921","Sedative, hypnotic or anxiolytic use, unspecified with intoxication delirium"
"F13.929","Sedative, hypnotic or anxiolytic use, unspecified with intoxication, unspecified"
"F13.930","Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, uncomplicated"
"F13.931","Sedative, hypnotic or anxiolytic use, unspecified with withdrawal delirium"
"F13.932","Sedative, hypnotic or anxiolytic use, unspecified with withdrawal with perceptual disturbances"
"F13.939","Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, unspecified"
"F13.950","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
"F13.951","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
"F13.959","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
"F13.980","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced anxiety disorder"
"F13.981","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced sexual dysfunction"
"F13.982","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced sleep disorder"
"F13.988","Sedative, hypnotic or anxiolytic use, unspecified with other sedative, hypnotic or anxiolytic-induced disorder"
"F14.10","Cocaine abuse, uncomplicated"
"F14.14","Cocaine abuse with cocaine-induced mood disorder"
"F14.19","Cocaine abuse with unspecified cocaine-induced disorder"
"F14.20","Cocaine dependence, uncomplicated"
"F14.21","Cocaine dependence, in remission"
"F14.23","Cocaine dependence with withdrawal"
"F14.24","Cocaine dependence with cocaine-induced mood disorder"
"F14.29","Cocaine dependence with unspecified cocaine-induced disorder"
"F14.90","Cocaine use, unspecified, uncomplicated"
"F14.94","Cocaine use, unspecified with cocaine-induced mood disorder"
"F14.99","Cocaine use, unspecified with unspecified cocaine-induced disorder"
"F14.120","Cocaine abuse with intoxication, uncomplicated"
"F14.121","Cocaine abuse with intoxication with delirium"
"F14.122","Cocaine abuse with intoxication with perceptual disturbance"
"F14.129","Cocaine abuse with intoxication, unspecified"
"F14.150","Cocaine abuse with cocaine-induced psychotic disorder with delusions"
"F14.151","Cocaine abuse with cocaine-induced psychotic disorder with hallucinations"
"F14.159","Cocaine abuse with cocaine-induced psychotic disorder, unspecified"
"F14.180","Cocaine abuse with cocaine-induced anxiety disorder"
"F14.181","Cocaine abuse with cocaine-induced sexual dysfunction"
"F14.182","Cocaine abuse with cocaine-induced sleep disorder"
"F14.188","Cocaine abuse with other cocaine-induced disorder"
"F14.220","Cocaine dependence with intoxication, uncomplicated"
"F14.221","Cocaine dependence with intoxication delirium"
"F14.222","Cocaine dependence with intoxication with perceptual disturbance"
"F14.229","Cocaine dependence with intoxication, unspecified"
"F14.250","Cocaine dependence with cocaine-induced psychotic disorder with delusions"
"F14.251","Cocaine dependence with cocaine-induced psychotic disorder with hallucinations"
"F14.259","Cocaine dependence with cocaine-induced psychotic disorder, unspecified"
"F14.280","Cocaine dependence with cocaine-induced anxiety disorder"
"F14.281","Cocaine dependence with cocaine-induced sexual dysfunction"
"F14.282","Cocaine dependence with cocaine-induced sleep disorder"
"F14.288","Cocaine dependence with other cocaine-induced disorder"
"F14.920","Cocaine use, unspecified with intoxication, uncomplicated"
"F14.921","Cocaine use, unspecified with intoxication delirium"
"F14.922","Cocaine use, unspecified with intoxication with perceptual disturbance"
"F14.929","Cocaine use, unspecified with intoxication, unspecified"
"F14.950","Cocaine use, unspecified with cocaine-induced psychotic disorder with delusions"
"F14.951","Cocaine use, unspecified with cocaine-induced psychotic disorder with hallucinations"
"F14.959","Cocaine use, unspecified with cocaine-induced psychotic disorder, unspecified"
"F14.980","Cocaine use, unspecified with cocaine-induced anxiety disorder"
"F14.981","Cocaine use, unspecified with cocaine-induced sexual dysfunction"
"F14.982","Cocaine use, unspecified with cocaine-induced sleep disorder"
"F14.988","Cocaine use, unspecified with other cocaine-induced disorder"
"F15.10","Other stimulant abuse, uncomplicated"
"F15.14","Other stimulant abuse with stimulant-induced mood disorder"
"F15.19","Other stimulant abuse with unspecified stimulant-induced disorder"
"F15.20","Other stimulant dependence, uncomplicated"
"F15.21","Other stimulant dependence, in remission"
"F15.23","Other stimulant dependence with withdrawal"
"F15.24","Other stimulant dependence with stimulant-induced mood disorder"
"F15.29","Other stimulant dependence with unspecified stimulant-induced disorder"
"F15.90","Other stimulant use, unspecified, uncomplicated"
"F15.93","Other stimulant use, unspecified with withdrawal"
"F15.94","Other stimulant use, unspecified with stimulant-induced mood disorder"
"F15.99","Other stimulant use, unspecified with unspecified stimulant-induced disorder"
"F15.120","Other stimulant abuse with intoxication, uncomplicated"
"F15.121","Other stimulant abuse with intoxication delirium"
"F15.122","Other stimulant abuse with intoxication with perceptual disturbance"
"F15.129","Other stimulant abuse with intoxication, unspecified"
"F15.150","Other stimulant abuse with stimulant-induced psychotic disorder with delusions"
"F15.151","Other stimulant abuse with stimulant-induced psychotic disorder with hallucinations"
"F15.159","Other stimulant abuse with stimulant-induced psychotic disorder, unspecified"
"F15.180","Other stimulant abuse with stimulant-induced anxiety disorder"
"F15.181","Other stimulant abuse with stimulant-induced sexual dysfunction"
"F15.182","Other stimulant abuse with stimulant-induced sleep disorder"
"F15.188","Other stimulant abuse with other stimulant-induced disorder"
"F15.220","Other stimulant dependence with intoxication, uncomplicated"
"F15.221","Other stimulant dependence with intoxication delirium"
"F15.222","Other stimulant dependence with intoxication with perceptual disturbance"
"F15.229","Other stimulant dependence with intoxication, unspecified"
"F15.250","Other stimulant dependence with stimulant-induced psychotic disorder with delusions"
"F15.251","Other stimulant dependence with stimulant-induced psychotic disorder with hallucinations"
"F15.259","Other stimulant dependence with stimulant-induced psychotic disorder, unspecified"
"F15.280","Other stimulant dependence with stimulant-induced anxiety disorder"
"F15.281","Other stimulant dependence with stimulant-induced sexual dysfunction"
"F15.282","Other stimulant dependence with stimulant-induced sleep disorder"
"F15.288","Other stimulant dependence with other stimulant-induced disorder"
"F15.920","Other stimulant use, unspecified with intoxication, uncomplicated"
"F15.921","Other stimulant use, unspecified with intoxication delirium"
"F15.922","Other stimulant use, unspecified with intoxication with perceptual disturbance"
"F15.929","Other stimulant use, unspecified with intoxication, unspecified"
"F15.950","Other stimulant use, unspecified with stimulant-induced psychotic disorder with delusions"
"F15.951","Other stimulant use, unspecified with stimulant-induced psychotic disorder with hallucinations"
"F15.959","Other stimulant use, unspecified with stimulant-induced psychotic disorder, unspecified"
"F15.980","Other stimulant use, unspecified with stimulant-induced anxiety disorder"
"F15.981","Other stimulant use, unspecified with stimulant-induced sexual dysfunction"
"F15.982","Other stimulant use, unspecified with stimulant-induced sleep disorder"
"F15.988","Other stimulant use, unspecified with other stimulant-induced disorder"
"F16.10","Hallucinogen abuse, uncomplicated"
"F16.14","Hallucinogen abuse with hallucinogen-induced mood disorder"
"F16.19","Hallucinogen abuse with unspecified hallucinogen-induced disorder"
"F16.20","Hallucinogen dependence, uncomplicated"
"F16.21","Hallucinogen dependence, in remission"
"F16.24","Hallucinogen dependence with hallucinogen-induced mood disorder"
"F16.29","Hallucinogen dependence with unspecified hallucinogen-induced disorder"
"F16.90","Hallucinogen use, unspecified, uncomplicated"
"F16.94","Hallucinogen use, unspecified with hallucinogen-induced mood disorder"
"F16.99","Hallucinogen use, unspecified with unspecified hallucinogen-induced disorder"
"F16.120","Hallucinogen abuse with intoxication, uncomplicated"
"F16.121","Hallucinogen abuse with intoxication with delirium"
"F16.122","Hallucinogen abuse with intoxication with perceptual disturbance"
"F16.129","Hallucinogen abuse with intoxication, unspecified"
"F16.150","Hallucinogen abuse with hallucinogen-induced psychotic disorder with delusions"
"F16.151","Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations"
"F16.159","Hallucinogen abuse with hallucinogen-induced psychotic disorder, unspecified"
"F16.180","Hallucinogen abuse with hallucinogen-induced anxiety disorder"
"F16.183","Hallucinogen abuse with hallucinogen persisting perception disorder (flashbacks)"
"F16.188","Hallucinogen abuse with other hallucinogen-induced disorder"
"F16.220","Hallucinogen dependence with intoxication, uncomplicated"
"F16.221","Hallucinogen dependence with intoxication with delirium"
"F16.229","Hallucinogen dependence with intoxication, unspecified"
"F16.250","Hallucinogen dependence with hallucinogen-induced psychotic disorder with delusions"
"F16.251","Hallucinogen dependence with hallucinogen-induced psychotic disorder with hallucinations"
"F16.259","Hallucinogen dependence with hallucinogen-induced psychotic disorder, unspecified"
"F16.280","Hallucinogen dependence with hallucinogen-induced anxiety disorder"
"F16.283","Hallucinogen dependence with hallucinogen persisting perception disorder (flashbacks)"
"F16.288","Hallucinogen dependence with other hallucinogen-induced disorder"
"F16.920","Hallucinogen use, unspecified with intoxication, uncomplicated"
"F16.921","Hallucinogen use, unspecified with intoxication with delirium"
"F16.929","Hallucinogen use, unspecified with intoxication, unspecified"
"F16.950","Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with delusions"
"F16.951","Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with hallucinations"
"F16.959","Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder, unspecified"
"F16.980","Hallucinogen use, unspecified with hallucinogen-induced anxiety disorder"
"F16.983","Hallucinogen use, unspecified with hallucinogen persisting perception disorder (flashbacks)"
"F16.988","Hallucinogen use, unspecified with other hallucinogen-induced disorder"
"F18.10","Inhalant abuse, uncomplicated"
"F18.14","Inhalant abuse with inhalant-induced mood disorder"
"F18.17","Inhalant abuse with inhalant-induced dementia"
"F18.19","Inhalant abuse with unspecified inhalant-induced disorder"
"F18.20","Inhalant dependence, uncomplicated"
"F18.21","Inhalant dependence, in remission"
"F18.24","Inhalant dependence with inhalant-induced mood disorder"
"F18.27","Inhalant dependence with inhalant-induced dementia"
"F18.29","Inhalant dependence with unspecified inhalant-induced disorder"
"F18.90","Inhalant use, unspecified, uncomplicated"
"F18.94","Inhalant use, unspecified with inhalant-induced mood disorder"
"F18.97","Inhalant use, unspecified with inhalant-induced persisting dementia"
"F18.99","Inhalant use, unspecified with unspecified inhalant-induced disorder"
"F18.120","Inhalant abuse with intoxication, uncomplicated"
"F18.121","Inhalant abuse with intoxication delirium"
"F18.129","Inhalant abuse with intoxication, unspecified"
"F18.150","Inhalant abuse with inhalant-induced psychotic disorder with delusions"
"F18.151","Inhalant abuse with inhalant-induced psychotic disorder with hallucinations"
"F18.159","Inhalant abuse with inhalant-induced psychotic disorder, unspecified"
"F18.180","Inhalant abuse with inhalant-induced anxiety disorder"
"F18.188","Inhalant abuse with other inhalant-induced disorder"
"F18.220","Inhalant dependence with intoxication, uncomplicated"
"F18.221","Inhalant dependence with intoxication delirium"
"F18.229","Inhalant dependence with intoxication, unspecified"
"F18.250","Inhalant dependence with inhalant-induced psychotic disorder with delusions"
"F18.251","Inhalant dependence with inhalant-induced psychotic disorder with hallucinations"
"F18.259","Inhalant dependence with inhalant-induced psychotic disorder, unspecified"
"F18.280","Inhalant dependence with inhalant-induced anxiety disorder"
"F18.288","Inhalant dependence with other inhalant-induced disorder"
"F18.920","Inhalant use, unspecified with intoxication, uncomplicated"
"F18.921","Inhalant use, unspecified with intoxication with delirium"
"F18.929","Inhalant use, unspecified with intoxication, unspecified"
"F18.950","Inhalant use, unspecified with inhalant-induced psychotic disorder with delusions"
"F18.951","Inhalant use, unspecified with inhalant-induced psychotic disorder with hallucinations"
"F18.959","Inhalant use, unspecified with inhalant-induced psychotic disorder, unspecified"
"F18.980","Inhalant use, unspecified with inhalant-induced anxiety disorder"
"F18.988","Inhalant use, unspecified with other inhalant-induced disorder"
"F19.10","Other psychoactive substance abuse, uncomplicated"
"F19.14","Other psychoactive substance abuse with psychoactive substance-induced mood disorder"
"F19.16","Other psychoactive substance abuse with psychoactive substance-induced persisting amnestic disorder"
"F19.17","Other psychoactive substance abuse with psychoactive substance-induced persisting dementia"
"F19.19","Other psychoactive substance abuse with unspecified psychoactive substance-induced disorder"
"F19.20","Other psychoactive substance dependence, uncomplicated"
"F19.21","Other psychoactive substance dependence, in remission"
"F19.24","Other psychoactive substance dependence with psychoactive substance-induced mood disorder"
"F19.26","Other psychoactive substance dependence with psychoactive substance-induced persisting amnestic disorder"
"F19.27","Other psychoactive substance dependence with psychoactive substance-induced persisting dementia"
"F19.29","Other psychoactive substance dependence with unspecified psychoactive substance-induced disorder"
"F19.90","Other psychoactive substance use, unspecified, uncomplicated"
"F19.94","Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder"
"F19.96","Other psychoactive substance use, unspecified with psychoactive substance-induced persisting amnestic disorder"
"F19.97","Other psychoactive substance use, unspecified with psychoactive substance-induced persisting dementia"
"F19.99","Other psychoactive substance use, unspecified with unspecified psychoactive substance-induced disorder"
"F19.120","Other psychoactive substance abuse with intoxication, uncomplicated"
"F19.121","Other psychoactive substance abuse with intoxication delirium"
"F19.122","Other psychoactive substance abuse with intoxication with perceptual disturbances"
"F19.129","Other psychoactive substance abuse with intoxication, unspecified"
"F19.150","Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with delusions"
"F19.151","Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with hallucinations"
"F19.159","Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder, unspecified"
"F19.180","Other psychoactive substance abuse with psychoactive substance-induced anxiety disorder"
"F19.181","Other psychoactive substance abuse with psychoactive substance-induced sexual dysfunction"
"F19.182","Other psychoactive substance abuse with psychoactive substance-induced sleep disorder"
"F19.188","Other psychoactive substance abuse with other psychoactive substance-induced disorder"
"F19.220","Other psychoactive substance dependence with intoxication, uncomplicated"
"F19.221","Other psychoactive substance dependence with intoxication delirium"
"F19.222","Other psychoactive substance dependence with intoxication with perceptual disturbance"
"F19.229","Other psychoactive substance dependence with intoxication, unspecified"
"F19.230","Other psychoactive substance dependence with withdrawal, uncomplicated"
"F19.231","Other psychoactive substance dependence with withdrawal delirium"
"F19.232","Other psychoactive substance dependence with withdrawal with perceptual disturbance"
"F19.239","Other psychoactive substance dependence with withdrawal, unspecified"
"F19.250","Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with delusions"
"F19.251","Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with hallucinations"
"F19.259","Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder, unspecified"
"F19.280","Other psychoactive substance dependence with psychoactive substance-induced anxiety disorder"
"F19.281","Other psychoactive substance dependence with psychoactive substance-induced sexual dysfunction"
"F19.282","Other psychoactive substance dependence with psychoactive substance-induced sleep disorder"
"F19.288","Other psychoactive substance dependence with other psychoactive substance-induced disorder"
"F19.920","Other psychoactive substance use, unspecified with intoxication, uncomplicated"
"F19.921","Other psychoactive substance use, unspecified with intoxication with delirium"
"F19.922","Other psychoactive substance use, unspecified with intoxication with perceptual disturbance"
"F19.929","Other psychoactive substance use, unspecified with intoxication, unspecified"
"F19.930","Other psychoactive substance use, unspecified with withdrawal, uncomplicated"
"F19.931","Other psychoactive substance use, unspecified with withdrawal delirium"
"F19.932","Other psychoactive substance use, unspecified with withdrawal with perceptual disturbance"
"F19.939","Other psychoactive substance use, unspecified with withdrawal, unspecified"
"F19.950","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with delusions"
"F19.951","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with hallucinations"
"F19.959","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder, unspecified"
"F19.980","Other psychoactive substance use, unspecified with psychoactive substance-induced anxiety disorder"
"F19.981","Other psychoactive substance use, unspecified with psychoactive substance-induced sexual dysfunction"
"F19.982","Other psychoactive substance use, unspecified with psychoactive substance-induced sleep disorder"
"F19.988","Other psychoactive substance use, unspecified with other psychoactive substance-induced disorder"
"F55.0","Abuse of antacids"
"F55.1","Abuse of herbal or folk remedies"
"F55.2","Abuse of laxatives"
"F55.3","Abuse of steroids or hormones"
"F55.4","Abuse of vitamins"
"F55.8","Abuse of other non-psychoactive substances"
"R78.0","Finding of alcohol in blood"
"Z71.41 ","Alcohol abuse counseling and surveillance of alcoholic"
"Z71.51","Drug abuse counseling and surveillance of drug abuser"