"ICD-9-CM Diagnosis Code","Description"
"291","Alcohol-induced mental disorders"
"291.0","Alcohol withdrawal delirium"
"291.1","Alcohol-induced persisting amnestic disorder"
"291.2","Alcohol-induced persisting dementia"
"291.3","Alcohol-induced psychotic disorder with hallucinations"
"291.4","Idiosyncratic alcohol intoxication"
"291.5","Alcohol-induced psychotic disorder with delusions"
"291.81","Alcohol withdrawal"
"291.82","Alcohol induced sleep disorders"
"291.89","Other alcohol-induced mental disorders"
"291.9","Unspecified alcohol-induced mental disorders"
"292","Drug-induced mental disorders"
"292.0","Drug withdrawal"
"292.1","Drug-induced psychotic disorders"
"292.11","Drug-induced psychotic disorder with delusions"
"292.12","Drug-induced psychotic disorder with hallucinations"
"292.2","Pathological drug intoxication"
"292.8","Other specified drug-induced mental disorders"
"292.81","Drug-induced delirium"
"292.82","Drug-induced persisting dementia"
"292.83","Drug-induced persisting amnestic disorder"
"292.84","Drug-induced mood disorder"
"292.85","Drug induced sleep disorders"
"292.89","Other specified drug-induced mental disorders"
"292.9","Unspecified drug-induced mental disorder"
"303","Alcohol dependence syndrome"
"303.0","Acute alcoholic intoxication"
"303.00","Acute alcoholic intoxication in alcoholism, unspecified"
"303.01","Acute alcoholic intoxication in alcoholism, continuous"
"303.02","Acute alcoholic intoxication in alcoholism, episodic"
"303.03","Acute alcoholic intoxication in alcoholism, in remission"
"303.9","Other and unspecified alcohol dependence"
"303.90","Other and unspecified alcohol dependence, unspecified"
"303.91","Other and unspecified alcohol dependence, continuous"
"303.92","Other and unspecified alcohol dependence, episodic"
"303.93","Other and unspecified alcohol dependence, in remission"
"304","Drug Dependence"
"304.0","Opioid type dependence"
"304.00","Opioid type dependence, unspecified"
"304.01","Opioid type dependence, continuous"
"304.02","Opioid type dependence, episodic"
"304.03","Opioid type dependence, in remission"
"304.1","Sedative, hypnotic or anxiolytic dependence"
"304.10","Sedative, hypnotic or anxiolytic dependence, unspecified"
"304.11","Sedative, hypnotic or anxiolytic dependence, continuous"
"304.12","Sedative, hypnotic or anxiolytic dependence, episodic"
"304.13","Sedative, hypnotic or anxiolytic dependence, in remission"
"304.2","Cocaine dependence"
"304.20","Cocaine dependence, unspecified"
"304.21","Cocaine dependence, continuous"
"304.22","Cocaine dependence, episodic"
"304.23","Cocaine dependence, in remission"
"304.3","Cannabis dependence"
"304.30","Cannabis dependence, unspecified"
"304.31","Cannabis dependence, continuous"
"304.32","Cannabis dependence, episodic"
"304.33","Cannabis dependence, in remission"
"304.4","Amphetamine and other psychostimulant dependence"
"304.40","Amphetamine and other psychostimulant dependence, unspecified"
"304.41","Amphetamine and other psychostimulant dependence, continuous"
"304.42","Amphetamine and other psychostimulant dependence, episodic"
"304.43","Amphetamine and other psychostimulant dependence, in remission"
"304.5","Hallucinogen dependence"
"304.50","Hallucinogen dependence, unspecified"
"304.51","Hallucinogen dependence, continuous"
"304.52","Hallucinogen dependence, episodic"
"304.53","Hallucinogen dependence, in remission"
"304.6","Other specified drug dependence"
"304.60","Other specified drug dependence, unspecified"
"304.61","Other specified drug dependence, continuous"
"304.62","Other specified drug dependence, episodic"
"304.63","Other specified drug dependence, in remission"
"304.7","Combinations of opioid type drug with any other drug dependence"
"304.70","Combinations of opioid type drug with any other drug dependence, unspecified"
"304.71","Combinations of opioid type drug with any other drug dependence, continuous"
"304.72","Combinations of opioid type drug with any other drug dependence, episodic"
"304.73","Combinations of opioid type drug with any other drug dependence, in remission"
"304.8","Combinations of drug dependence excluding opioid type drug"
"304.80","Combinations of drug dependence excluding opioid type drug, unspecified"
"304.81","Combinations of drug dependence excluding opioid type drug, continuous"
"304.82","Combinations of drug dependence excluding opioid type drug, episodic"
"304.83","Combinations of drug dependence excluding opioid type drug, in remission"
"304.9","Unspecified drug dependence"
"304.90","Unspecified drug dependence, unspecified"
"304.91","Unspecified drug dependence, continuous"
"304.92","Unspecified drug dependence, episodic"
"304.93","Unspecified drug dependence, in remission"
"305","Nondependent abuse of drugs"
"305.0","Alcohol abuse"
"305.00","Alcohol abuse, unspecified"
"305.01","Alcohol abuse, continuous"
"305.02","Alcohol abuse, episodic"
"305.03","Alcohol abuse, in remission"
"305.2","Cannabis abuse"
"305.20","Cannabis abuse, unspecified"
"305.21","Cannabis abuse, continuous"
"305.22","Cannabis abuse, episodic"
"305.23","Cannabis abuse, in remission"
"305.3","Hallucinogen abuse"
"305.30","Hallucinogen abuse, unspecified"
"305.31","Hallucinogen abuse, continuous"
"305.32","Hallucinogen abuse, episodic"
"305.33","Hallucinogen abuse, in remission"
"305.4","Sedative, hypnotic or anxiolytic abuse"
"305.40","Sedative, hypnotic or anxiolytic abuse, unspecified"
"305.41","Sedative, hypnotic or anxiolytic abuse, continuous"
"305.42","Sedative, hypnotic or anxiolytic abuse, episodic"
"305.43","Sedative, hypnotic or anxiolytic abuse, in remission"
"305.5","Opioid abuse"
"305.50","Opioid abuse, unspecified"
"305.51","Opioid abuse, continuous"
"305.52","Opioid abuse, episodic"
"305.53","Opioid abuse, in remission"
"305.6","Cocaine abuse"
"305.60","Cocaine abuse, unspecified"
"305.61","Cocaine abuse, continuous"
"305.62","Cocaine abuse, episodic"
"305.63","Cocaine abuse, in remission"
"305.7","Amphetamine or related acting sympathomimetic abuse"
"305.70","Amphetamine or related acting sympathomimetic abuse, unspecified"
"305.71","Amphetamine or related acting sympathomimetic abuse, continuous"
"305.72","Amphetamine or related acting sympathomimetic abuse, episodic"
"305.73","Amphetamine or related acting sympathomimetic abuse, in remission"
"305.8","Antidepressant type abuse"
"305.80","Antidepressant type abuse, unspecified"
"305.81","Antidepressant type abuse, continuous"
"305.82","Antidepressant type abuse, episodic"
"305.83","Antidepressant type abuse, in remission"
"305.9","Other, mixed, or unspecified drug abuse"
"305.90","Other, mixed, or unspecified drug abuse, unspecified"
"305.91","Other, mixed, or unspecified drug abuse, continuous"
"305.92","Other, mixed, or unspecified drug abuse, episodic"
"305.93","Other, mixed, or unspecified drug abuse, in remission"
"790.3","Excessive blood level of alcohol"
"V65.42","Counseling on substance use and abuse"